domain;aws;ec;pa
#Redesign;;;
web.cnbc.com;restricted-aicache-buffett-cnbc-1883150681.us-east-1.elb.amazonaws.com.;50.234.250.31,50.234.250.32;144.121.138.37,144.121.138.38
static-redesign-origin.cnbcfm.com;aicache-buffett-cnbcfm-2046400987.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;144.121.138.57,144.121.138.58
webql-redesign-origin.cnbcfm.com;aicache-buffett-cnbcfm-2046400987.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;144.121.138.57,144.121.138.58
webql-origin.cnbcfm.com;aicache-buffett-cnbcfm-2046400987.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;144.121.138.57,144.121.138.58
webql-ott-origin.cnbcfm.com;aicache-buffett-cnbcfm-2046400987.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;
pcm.cnbc.com;aicache-buffett-cnbc-579509870.us-east-1.elb.amazonaws.com.;50.234.250.31,50.234.250.32;144.121.138.37,144.121.138.38
#Legacy Pub;;;
pub-origin.cnbc.com;aicache-buffett-cnbc-579509870.us-east-1.elb.amazonaws.com.;50.234.250.31,50.234.250.32;144.121.138.33,144.121.138.34
sc-origin.cnbcfm.com;direct-alb-cnbcfm-671076668.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;144.121.138.57,144.121.138.58
img-origin.cnbcfm.com;direct-alb-cnbcfm-671076668.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;144.121.138.57,144.121.138.58
css-origin.cnbcfm.com;direct-alb-cnbcfm-671076668.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;144.121.138.57,144.121.138.58
js-origin.cnbcfm.com;direct-alb-cnbcfm-671076668.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;144.121.138.57,144.121.138.58
#Buffett;;;
buffett-origin.cnbc.com;aicache-buffett-cnbc-579509870.us-east-1.elb.amazonaws.com.;50.234.250.31,50.234.250.32;144.121.138.37,144.121.138.38
static-origin.cnbcfm.com;aicache-buffett-cnbcfm-2046400987.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;144.121.138.57,144.121.138.58
#DOND;;;
dealornodeal-origin.cnbc.com;direct-alb-pub-634859082.us-east-1.elb.amazonaws.com.;50.234.250.31,50.234.250.32;
static-dealornodeal-origin.cnbcfm.com;direct-alb-cnbcfm-671076668.us-east-1.elb.amazonaws.com.;50.234.250.41,50.234.250.42;
#PCM-RW;;;
pcm-rw.cnbc.com;aicache-buffett-cnbc-579509870.us-east-1.elb.amazonaws.com.;50.234.250.31,50.234.250.32;
pcmui.cnbc.com;restricted-aicache-buffett-cnbc-1883150681.us-east-1.elb.amazonaws.com.;50.234.250.31,50.234.250.32;144.121.138.37,144.121.138.38
#CARBON;;;
carbon.cnbc.com;restricted-alb-carbon-883556129.us-east-1.elb.amazonaws.com.;50.234.250.31,50.234.250.32;
#SEARCH;;;
search-origin.cnbc.com;direct-alb-pub-634859082.us-east-1.elb.amazonaws.com.;;144.121.138.37,144.121.138.38
#VAPI;;;
vapi.cnbc.com;direct-alb-pub-634859082.us-east-1.elb.amazonaws.com.;50.234.250.27,50.234.250.28;144.121.138.37,144.121.138.38
#GDS;;;
quote-origin.cnbc.com;;50.234.250.27,50.234.250.28;144.121.138.37,144.121.138.38
ts-api-origin.cnbc.com;;50.234.250.27,50.234.250.28;144.121.138.37,144.121.138.38
#test domains;;;
test.cnbcinternships.com;elb.example.com.;1.1.1.1,4.4.4.4;2.3.4.5
test1.cnbcinternships.com;elb1.example.com.;0.1.2.2;5.5.5.5
test2.cnbcinternships.com;elb2.example.com.;7.7.7.7;5.5.5.5
test.cnbcworkshops.com;elb3.example.com.;1.2.3.4;2.9.5.6
test1.cnbcworkshops.com;elb4.example.com.;3.3.3.3,1.8.9.0;1.1.1.4
amsearch.cnbc.com;;1.1.1.1;144.121.138.34,144.121.138.33